항공사123,편명123,예정시간123,도착지공항123
대한항공,KE5683,202403081035,하노이
대한항공,KE173,202403081040,홍콩
대한항공,KE037,202403081040,시카고/오헤어
대한항공,KE5829,202403081045,하이커우
대한항공,KE5673,202403081045,다낭
대한항공,KE727,202403081050,오사카/ 간사이
대한항공,KE907,202403081055,런던/히드로
대한항공,KE791,202403081105,후쿠오카
대한항공,KE785,202403081105,가고시마
대한항공,KE5941,202403081105,타슈켄트
대한항공,KE5671,202403081105,쿠알라룸푸르
대한항공,KE457,202403081110,다낭
대한항공,KE855,202403081110,베이징/서우두
대한항공,KE969,202403081110,프라하
대한항공,KE897,202403081110,상하이/푸동
대한항공,KE945,202403081130,프랑크푸르트
대한항공,KE5901,202403081145,파리/샤를드골
대한항공,KE107,202403081155,항저우
대한항공,KE5847,202403081155,옌타이
대한항공,KE5853,202403081200,칭다오
대한항공,KE915,202403081205,바르셀로나
대한항공,KE937,202403081205,비엔나
대한항공,KE901,202403081210,파리/샤를드골
대한항공,KE927,202403081210,밀라노
대한항공,KE5699,202403081215,가오슝
대한항공,KE5807,202403081215,상하이/푸동
대한항공,KE497,202403081220,델리
대한항공,KE5691,202403081225,타이베이
대한항공,KE951,202403081245,두바이
대한항공,KE869,202403081250,다롄(대련)
대한항공,KE769,202403081255,삿포로
대한항공,KE5857,202403081255,상하이/푸동
대한항공,KE843,202403081305,칭다오
대한항공,KE789,202403081310,후쿠오카
대한항공,KE5867,202403081320,신 울란바토르
대한항공,KE695,202403081325,카트만두
대한항공,KE711,202403081335,도쿄/나리타
대한항공,KE955,202403081345,이스탄불
대한항공,KE5849,202403081400,웨이하이
대한항공,KE1411,202403081415,김해
대한항공,KE5871,202403081420,시안
대한항공,KE017,202403081430,로스앤젤레스
대한항공,KE833,202403081430,선양(심양)
대한항공,KE5863,202403081430,상하이/푸동
대한항공,KE627,202403081505,자카르타/수카르노하타
대한항공,KE725,202403081510,오사카/ 간사이
대한항공,KE487,202403081545,푸꾸옥
대한항공,KE041,202403081600,시애틀
대한항공,KE023,202403081600,샌프란시스코
대한항공,KE187,202403081615,타이베이
대한항공,KE5825,202403081615,광저우
대한항공,KE5885,202403081620,상하이/푸동
대한항공,KE5675,202403081635,호찌민
대한항공,KE671,202403081640,쿠알라룸푸르
대한항공,KE5841,202403081640,칭다오
대한항공,KE663,202403081655,푸켓
대한항공,KE713,202403081655,도쿄/나리타
대한항공,KE5065,202403081710,방콕/수완나품
대한항공,KE1415,202403081715,김해
대한항공,KE651,202403081720,방콕/수완나품
대한항공,KE5077,202403081720,후쿠오카
대한항공,KE629,202403081740,덴파사르
대한항공,KE411,202403081755,오클랜드(뉴질랜드)
대한항공,KE667,202403081805,치앙마이
대한항공,KE475,202403081805,호찌민
대한항공,KE5689,202403081805,하노이
대한항공,KE071,202403081820,밴쿠버
대한항공,KE5893,202403081825,상하이/푸동
대한항공,KE467,202403081830,나트랑
대한항공,KE461,202403081830,다낭
대한항공,KE623,202403081835,마닐라
대한항공,KE645,202403081835,싱가포르
대한항공,KE5031,202403081835,댈러스포트워스
대한항공,KE781,202403081840,후쿠오카
대한항공,KE455,202403081840,하노이
대한항공,KE705,202403081845,도쿄/나리타
대한항공,KE401,202403081845,시드니
대한항공,KE5035,202403081845,애틀랜타
대한항공,KE615,202403081850,세부
대한항공,KE689,202403081855,프놈펜
대한항공,KE743,202403081900,나고야
대한항공,KE853,202403081900,베이징/서우두
대한항공,KE653,202403081905,방콕/수완나품
대한항공,KE721,202403081905,오사카/ 간사이
대한항공,KE895,202403081905,상하이/푸동
대한항공,KE1433,202403081925,대구
대한항공,KE5033,202403081925,미니애폴리스
대한항공,KE1427,202403081935,김해
대한항공,KE477,202403081935,호찌민
대한항공,KE011,202403081940,로스앤젤레스
대한항공,KE407,202403081945,브리즈번
대한항공,KE177,202403082000,홍콩
대한항공,KE625,202403082005,마닐라
대한항공,KE5019,202403082005,시애틀
대한항공,KE5781,202403082005,세부
대한항공,KE673,202403082010,방콕/수완나품
대한항공,KE659,202403082015,방콕/수완나품
대한항공,KE025,202403082020,샌프란시스코
대한항공,KE053,202403082035,호놀룰루
대한항공,KE085,202403082035,뉴욕/존에프케네디
대한항공,KE719,202403082040,도쿄/하네다
대한항공,KE5693,202403082055,타이베이
대한항공,KE005,202403082100,라스베이거스
대한항공,KE5769,202403082110,다낭
대한항공,KE7895,202403082125,호놀룰루
대한항공,KE6685,202403082225,리야드
대한항공,KE647,202403082310,싱가포르
대한항공,KE5951,202403082340,두바이
대한항공,KE5649,202403090005,신 울란바토르
대한항공,KE5925,202403090055,암스테르담
대한항공,KE5679,202403090615,나트랑
대한항공,KE5075,202403090650,후쿠오카
대한항공,KE1405,202403090700,김해
대한항공,KE5749,202403090705,키타큐슈
대한항공,KE5845,202403090725,옌타이
대한항공,KE5741,202403090730,도쿄/나리타
대한항공,KE775,202403090735,고마쓰
대한항공,KE621,202403090745,마닐라
대한항공,KE197,202403090745,신 울란바토르
대한항공,KE859,202403090755,베이징/서우두
대한항공,KE787,202403090800,후쿠오카
대한항공,KE5071,202403090800,오사카/ 간사이
대한항공,KE441,202403090805,하노이
대한항공,KE755,202403090805,오키나와
대한항공,KE827,202403090815,선전
대한항공,KE171,202403090820,홍콩
대한항공,KE1407,202403090825,김해
대한항공,KE893,202403090825,상하이/푸동
대한항공,KE5869,202403090830,칭다오
대한항공,KE5061,202403090835,삿포로
대한항공,KE831,202403090850,선양(심양)
대한항공,KE865,202403090855,광저우
대한항공,KE5879,202403090855,상하이/푸동
대한항공,KE723,202403090900,오사카/ 간사이
대한항공,KE185,202403090900,타이베이
대한항공,KE845,202403090905,칭다오
대한항공,KE469,202403090910,호찌민
대한항공,KE657,202403090915,방콕/수완나품
대한항공,KE421,202403090915,괌
대한항공,KE811,202403090920,시안
대한항공,KE117,202403090925,옌지(연길)
대한항공,KE091,202403090930,보스턴
대한항공,KE035,202403090935,애틀랜타
대한항공,KE7273,202403090935,디트로이트
